"name","id","country","league","player_handedness"
"M.MMOH","31095","USA","atp","right-handed"
"M.POLMANS","ATPPG94","AUS","atp","right-handed"
"M.PURCELL","ATPPH71","AUS","atp","right-handed"
"M.RAONIC","ATPR975","CAN","atp","right-handed"
"M.SAFWAT","ATPSK47","EGY","atp","right-handed"
"M.TORPEGAARD","ATPTC12","DEN","atp","right-handed"
"M.TRUNGELLITI","ATPTA29","ARG","atp","right-handed"
"M.VILELLAMARTINEZ","ATPV824","ESP","atp",NA
"M.YMER","ATPY268","SWE","atp","right-handed"
"M.YMER","33597","SWE","atp","right-handed"
"N.BASILASHVILI","ATPBG23","GEO","atp","right-handed"
"N.DJOKOVIC","9801","SRB","atp","right-handed"
"N.DJOKOVIC","ATPD643","SRB","atp","right-handed"
"N.GOMBOS","22505","SVK","atp","right-handed"
"N.GOMBOS","ATPGB93","SVK","atp","right-handed"
"N.JARRY","32019","CHI","atp","right-handed"
"N.KYRGIOS","ATPKE17","AUS","atp","right-handed"
"O.OTTE","27419","GER","atp","right-handed"
"P.ANDUJAR","ATPA596","ESP","atp","right-handed"
"P.ANDUJAR","9592","ESP","atp","right-handed"
"P.CARRENOBUSTA","21578","ESP","atp","right-handed"
"P.CARRENOBUSTA","ATPCD85","ESP","atp","right-handed"
"P.CUEVAS","9767","URU","atp","right-handed"
"P.CUEVAS","ATPC882","URU","atp","right-handed"
"P.GOJOWCZYK","ATPG967","GER","atp","right-handed"
"P.GOJOWCZYK","15722","GER","atp","right-handed"
"P.GUNNESWARAN","ATPGA94","IND","atp","left-handed"
"P.HERBERT","ATPH996","FRA","atp","right-handed"
"P.HERBERT","21623","FRA","atp","right-handed"
"P.KOHLSCHREIBER","ATPK435","GER","atp","right-handed"
"P.KOHLSCHREIBER","4825","GER","atp","right-handed"
"P.MARTINEZ","ATPMO44","ESP","atp","right-handed"
"P.MARTINEZ","32244","ESP","atp","right-handed"
"P.SOUSA","ATPS483","POR","atp","right-handed"
"Q.HALYS","ATPHB64","FRA","atp","right-handed"
"Q.HALYS","31036","FRA","atp","right-handed"
"R.ALBOT","ATPA829","MDA","atp","right-handed"
"R.BAUTISTAAGUT","13354","ESP","atp","right-handed"
"R.BAUTISTAAGUT","ATPBD06","ESP","atp","right-handed"
"R.BEMELMANS","15156","BEL","atp","left-handed"
"R.BERANKIS","ATPBE90","LTU","atp","right-handed"
"R.BERANKIS","17510","LTU","atp","right-handed"
"R.CARBALLESBAENA","ATPCF59","ESP","atp","right-handed"
"R.CARBALLESBAENA","26219","ESP","atp","right-handed"
"R.FEDERER","2508","SUI","atp","right-handed"
"R.FEDERER","ATPF324","SUI","atp","right-handed"
"R.GASQUET","6083","FRA","atp","right-handed"
"R.HAASE","ATPH756","NED","atp","right-handed"
"R.NADAL","ATPN409","ESP","atp","left-handed"
"R.NADAL","7792","ESP","atp","left-handed"
"R.OLIVO","20782","ARG","atp","right-handed"
"R.OPELKA","ATPO522","USA","atp","right-handed"
"R.OPELKA","32402","USA","atp","right-handed"
"R.SAFIULLIN","33560","RUS","atp","right-handed"
"R.SAFIULLIN","ATPSX50","RUS","atp","right-handed"
"S.BOLELLI","9677","ITA","atp","right-handed"
"S.CARUSO","24574","ITA","atp","right-handed"
"S.CARUSO","ATPCE25","ITA","atp","right-handed"
"S.JOHNSON","ATPJ386","USA","atp","right-handed"
"S.JOHNSON","18972","USA","atp","right-handed"
"S.KORDA","40824","USA","atp","right-handed"
"S.KWON","34679","KOR","atp","right-handed"
"S.KWON","ATPKF17","KOR","atp","right-handed"
"S.NAGAL","ATPN897","IND","atp","right-handed"
"S.QUERREY","ATPQ927","USA","atp","right-handed"
"S.STAKHOVSKY","ATPSC77","UKR","atp","right-handed"
"S.TRAVAGLIA","21066","ITA","atp","right-handed"
"S.TRAVAGLIA","ATPTA12","ITA","atp","right-handed"
"S.TSITSIPAS","35398","GRE","atp","right-handed"
"S.TSITSIPAS","ATPTE51","GRE","atp","right-handed"
"S.WAWRINKA","7815","SUI","atp","right-handed"
"S.WAWRINKA","ATPW367","SUI","atp","right-handed"
"T.DANIEL","26227","JPN","atp","right-handed"
"T.DANIEL","ATPDA81","JPN","atp","right-handed"
"T.FABBIANO","13555","ITA","atp","right-handed"
"T.FRITZ","ATPFB98","USA","atp","right-handed"
"T.GRIEKSPOOR","ATPGJ37","NED","atp","right-handed"
"T.ITO","ATPI230","JPN","atp","right-handed"
"T.KOKKINAKIS","ATPKD46","AUS","atp","right-handed"
"T.MACHAC","ATPM0FH","CZE","atp","right-handed"
"T.MONTEIRO","ATPMJ08","BRA","atp","left-handed"
"T.PAUL","ATPPL56","USA","atp","right-handed"
"T.PAUL","33541","USA","atp","right-handed"
"T.SANDGREN","ATPSL08","USA","atp","right-handed"
"T.SANDGREN","21707","USA","atp","right-handed"
"U.HUMBERT","ATPHH26","FRA","atp","left-handed"
"U.HUMBERT","36307","FRA","atp","left-handed"
"V.POSPISIL","19319","CAN","atp","right-handed"
"V.POSPISIL","ATPPD07","CAN","atp","right-handed"
"V.TROICKI","ATPT840","SRB","atp","right-handed"
"Y.HANFMANN","22568","GER","atp","right-handed"
"Y.HANFMANN","ATPH997","GER","atp","right-handed"
"Y.LU","ATPL575","TPE","atp","right-handed"
"Y.MADEN","17608","GER","atp","right-handed"
"Y.NISHIOKA","ATPN732","JPN","atp","left-handed"
"Y.NISHIOKA","26310","JPN","atp","left-handed"
"Y.SUGITA","ATPSE73","JPN","atp","right-handed"
"Y.UCHIYAMA","ATPU134","JPN","atp","right-handed"
"A.ANISIMOVA","WTA326384","USA","wta","right-handed"
"A.ANISIMOVA","40607","USA","wta","right-handed"
"A.BARTY","27902","AUS","wta","right-handed"
"A.BARTY","WTA318033","AUS","wta","right-handed"
"A.BLINKOVA","33614","RUS","wta","right-handed"
"A.BLINKOVA","WTA324267","RUS","wta","right-handed"
"A.BOGDAN","19858","ROU","wta","right-handed"
"A.BOGDAN","WTA315427","ROU","wta","right-handed"
"A.BOLSOVA","WTA320735","ESP","wta","right-handed"
"A.CORNET","WTA312121","FRA","wta","right-handed"
"A.CORNET","13263","FRA","wta","right-handed"
"A.KALINSKAYA","33663","RUS","wta","right-handed"
"A.KALINSKAYA","WTA323942","RUS","wta","right-handed"
"A.KERBER","11344","GER","wta","left-handed"
"A.KERBER","WTA311470","GER","wta","left-handed"
"A.KONJUH","31288","CRO","wta","right-handed"
"A.KONTAVEIT","26434","EST","wta","right-handed"
"A.KONTAVEIT","WTA318425","EST","wta","right-handed"
"A.LI","WTA326096","USA","wta","right-handed"
"A.LI","40660","USA","wta","right-handed"
"A.LOTTNER","WTA318494","GER","wta","right-handed"
"A.PAVLYUCHENKOVA","WTA313796","RUS","wta","right-handed"
"A.PAVLYUCHENKOVA","15108","RUS","wta","right-handed"
"A.PETKOVIC","9046","GER","wta","right-handed"
"A.PETKOVIC","WTA310770","GER","wta","right-handed"
"A.POTAPOVA","WTA325601","RUS","wta","right-handed"
"A.POTAPOVA","38726","RUS","wta","right-handed"
"A.RISKE","WTA312850","USA","wta","right-handed"
"A.RODIONOVA","WTA312413","AUS","wta","right-handed"
"A.RUS","WTA313349","NED","wta","left-handed"
"A.SABALENKA","33249","BLR","wta","right-handed"
"A.SABALENKA","WTA320760","BLR","wta","right-handed"
"A.SASNOVICH","WTA317790","BLR","wta","right-handed"
"A.SASNOVICH","26058","BLR","wta","right-handed"
"A.SCHMIEDLOVA","26485","SVK","wta","right-handed"
"A.SCHMIEDLOVA","WTA318203","SVK","wta","right-handed"
"A.SEVASTOVA","WTA313987","LAT","wta","right-handed"
"A.SEVASTOVA","18348","LAT","wta","right-handed"
"A.SHARMA","WTA319696","AUS","wta","right-handed"
"A.TOMLJANOVIC","WTA315232","AUS","wta","right-handed"
"A.TOMLJANOVIC","19962","AUS","wta","right-handed"
"A.VANUYTVANCK","WTA317819","BEL","wta","right-handed"
"B.ANDREESCU","WTA325088","CAN","wta","right-handed"
"B.BENCIC","28865","SUI","wta","right-handed"
"B.BENCIC","WTA319001","SUI","wta","right-handed"
"B.KREJCIKOVA","26436","CZE","wta","right-handed"
"B.KREJCIKOVA","WTA318314","CZE","wta","right-handed"
"B.PERA","28763","USA","wta","left-handed"
"B.PERA","WTA317708","USA","wta","left-handed"
"B.STRYCOVA","WTA190879","CZE","wta","right-handed"
"C.BELLIS","WTA322526","USA","wta","right-handed"
"C.BUREL","41884","FRA","wta",""
"C.BUREL","41884","FRA","wta","right-handed"
"C.BUREL","WTA325320","FRA","wta",""
"C.BUREL","WTA325320","FRA","wta","right-handed"
"C.GARCIA","23726","FRA","wta","right-handed"
"C.GARCIA","WTA315391","FRA","wta","right-handed"
"C.GAUFF","WTA328560","USA","wta","right-handed"
"C.GAUFF","44185","USA","wta","right-handed"
"C.GIORGI","WTA314610","ITA","wta","right-handed"
"C.MCHALE","WTA314917","USA","wta","right-handed"
"C.MCNALLY","WTA325725","USA","wta","right-handed"
"C.PAQUET","28266","FRA","wta","right-handed"
"C.PAQUET","WTA318839","FRA","wta","right-handed"
"C.SUAREZNAVARRO","11073","ESP","wta",NA
"C.SUÁREZNAVARRO","WTA311338","ESP","wta",NA
"C.TAUSON","42533","DEN","wta","right-handed"
"C.VANDEWEGHE","WTA314464","USA","wta","right-handed"
"C.WOZNIACKI","13256","DEN","wta","right-handed"
"C.WOZNIACKI","WTA313402","DEN","wta","right-handed"
"D.AIAVA","WTA324219","AUS","wta","right-handed"
"D.COLLINS","30464","USA","wta","right-handed"
"D.COLLINS","WTA316925","USA","wta","right-handed"
"D.GAVRILOVA","WTA315997","AUS","wta","right-handed"
"D.KASATKINA","31281","RUS","wta","right-handed"
"D.KASATKINA","WTA322082","RUS","wta","right-handed"
"D.KOVINIC","25890","MNE","wta","right-handed"
"D.KOVINIC","WTA317684","MNE","wta","right-handed"
"D.VEKIC","26513","CRO","wta","right-handed"
"D.VEKIC","WTA318516","CRO","wta","right-handed"
"D.YASTREMSKA","WTA324261","UKR","wta","right-handed"
"E.ALEXANDROVA","WTA319007","RUS","wta","right-handed"
"E.ALEXANDROVA","30361","RUS","wta","right-handed"
"E.BOUCHARD","21776","CAN","wta","right-handed"
"E.COCCIARETTO","WTA327909","ITA","wta","right-handed"
"E.MERTENS","26448","BEL","wta","right-handed"
"E.MERTENS","WTA317964","BEL","wta","right-handed"
"E.RODINA","13235","RUS","wta","right-handed"
"E.RYBAKINA","38569","KAZ","wta","right-handed"
"E.RYBAKINA","WTA324166","KAZ","wta","right-handed"
"E.SVITOLINA","23968","UKR","wta","right-handed"
"E.SVITOLINA","WTA316738","UKR","wta","right-handed"
"E.VESNINA","9117","RUS","wta","right-handed"
"ES.LIANG","42514","TPE","wta",NA
"F.FERRO","30524","FRA","wta","right-handed"
"F.FERRO","WTA319969","FRA","wta","right-handed"
"F.JONES","WTA324479","GBR","wta",""
"F.JONES","WTA324479","GBR","wta","right-handed"
"G.MINNEN","WTA321454","BEL","wta","right-handed"
"G.MINNEN","31313","BEL","wta","right-handed"
"G.MUGURUZA","23872","ESP","wta","right-handed"
"G.MUGURUZA","WTA316239","ESP","wta","right-handed"
"H.DART","WTA319489","GBR","wta","right-handed"
"H.TAN","31398","FRA","wta",""
"H.TAN","31398","FRA","wta","right-handed"
"H.WATSON","WTA316981","GBR","wta","right-handed"
"I.BARA","27898","ROU","wta","right-handed"
"I.BEGU","WTA313169","ROU","wta","right-handed"
"I.BEGU","16659","ROU","wta","right-handed"
"I.SWIATEK","40613","POL","wta","right-handed"
"I.SWIATEK","WTA326408","POL","wta","right-handed"
"J.BRADY","WTA318358","USA","wta","right-handed"
"J.BRADY","27929","USA","wta","right-handed"
"J.GOERGES","WTA313381","GER","wta","right-handed"
"J.KONTA","16944","GBR","wta","right-handed"
"J.KONTA","WTA313907","GBR","wta","right-handed"
"J.LARSSON","12748","SWE","wta","right-handed"
"J.LARSSON","WTA311593","SWE","wta","right-handed"
"J.OSTAPENKO","28758","LAT","wta","right-handed"
"J.OSTAPENKO","WTA319939","LAT","wta","right-handed"
"J.PAOLINI","WTA319280","ITA","wta","right-handed"
"J.PEGULA","WTA316956","USA","wta","right-handed"
"J.PEGULA","21863","USA","wta","right-handed"
"J.TEICHMANN","WTA320926","SUI","wta","left-handed"
"K.AHN","23598","USA","wta","right-handed"
"K.AHN","WTA316159","USA","wta","right-handed"
"K.BERTENS","17861","NED","wta","right-handed"
"K.BERTENS","WTA314584","NED","wta","right-handed"
"K.BIRRELL","WTA320728","AUS","wta","right-handed"
"K.BONDARENKO","WTA020702","UKR","wta","right-handed"
"K.BOULTER","WTA319125","GBR","wta","right-handed"
"K.FLIPKENS","WTA310331","BEL","wta","right-handed"
"K.JUVAN","WTA324702","SLO","wta","right-handed"
"K.JUVAN","40087","SLO","wta","right-handed"
"K.KANEPI","5699","EST","wta","right-handed"
"K.KANEPI","WTA110536","EST","wta","right-handed"
"K.KOZLOVA","WTA316739","UKR","wta","right-handed"
"K.MLADENOVIC","WTA315616","FRA","wta","right-handed"
"K.MLADENOVIC","19921","FRA","wta","right-handed"
"K.MUCHOVA","WTA322191","CZE","wta","right-handed"
"K.MUCHOVA","35961","CZE","wta","right-handed"
"K.NARA","17421","JPN","wta","right-handed"
"K.SINIAKOVA","28779","CZE","wta","right-handed"
"K.SINIAKOVA","WTA320301","CZE","wta","right-handed"
"K.ZAVATSKA","38594","UKR","wta","right-handed"
"KA.PLISKOVA","18274","CZE","wta","right-handed"
"KA.PLISKOVA","WTA313974","CZE","wta","right-handed"
"KR.PLISKOVA","18275","CZE","wta","left-handed"
"KR.PLISKOVA","WTA313975","CZE","wta","left-handed"
"L.CABRERA","WTA320013","AUS","wta","right-handed"
"L.DAVIS","WTA317414","USA","wta","right-handed"
"L.FERNANDEZ","WTA326735","CAN","wta","left-handed"
"L.FERNANDEZ","43643","CAN","wta","left-handed"
"L.SAMSONOVA","33732","RUS","wta","right-handed"
"L.SAMSONOVA","WTA322222","RUS","wta","right-handed"
"L.SIEGEMUND","9086","GER","wta","right-handed"
"L.SIEGEMUND","WTA310926","GER","wta","right-handed"
"L.TSURENKO","21519","UKR","wta","right-handed"
"L.TSURENKO","WTA315295","UKR","wta","right-handed"
"L.ZHU","WTA317306","CHN","wta","right-handed"
"M.BARTHEL","WTA315365","GER","wta","right-handed"
"M.BARTHEL","17343","GER","wta","right-handed"
"M.BOUZKOVA","31217","CZE","wta","right-handed"
"M.BOUZKOVA","WTA320983","CZE","wta","right-handed"
"M.BRENGLE","14415","USA","wta","right-handed"
"M.BRENGLE","WTA312328","USA","wta","right-handed"
"M.BUZARNESCU","13153","ROU","wta","left-handed"
"M.BUZARNESCU","WTA312268","ROU","wta","left-handed"
"M.DOI","WTA314237","JPN","wta","left-handed"
"M.DOI","17949","JPN","wta","left-handed"
"M.GASPARYAN","24248","RUS","wta","right-handed"
"M.GASPARYAN","WTA317938","RUS","wta","right-handed"
"M.HIBI","WTA319473","JPN","wta","right-handed"
"M.INGLIS","WTA321179","AUS","wta","right-handed"
"M.KEYS","24265","USA","wta","right-handed"
"M.KEYS","WTA316959","USA","wta","right-handed"
"M.KOSTYUK","40683","UKR","wta","right-handed"
"M.KOSTYUK","WTA326482","UKR","wta","right-handed"
"M.LINETTE","WTA315130","POL","wta","right-handed"
"M.LINETTE","21355","POL","wta","right-handed"
"M.NICULESCU","WTA310775","ROU","wta","right-handed"
"M.SAKKARI","WTA318312","GRE","wta","right-handed"
"M.SAKKARI","28771","GRE","wta","right-handed"
"M.SHARAPOVA","WTA310137","RUS","wta","right-handed"
"M.SHERIF","28369","EGY","wta","right-handed"
"M.SHERIF","WTA318711","EGY","wta","right-handed"
"M.TREVISAN","21892","ITA","wta","left-handed"
"M.TREVISAN","WTA316266","ITA","wta","left-handed"
"M.VONDROUSOVA","36620","CZE","wta","left-handed"
"M.VONDROUSOVA","WTA323027","CZE","wta","left-handed"
"N.HAN","WTA315159","KOR","wta","left-handed"
"N.HIBINO","WTA320238","JPN","wta","right-handed"
"N.OSAKA","30764","JPN","wta","right-handed"
"N.OSAKA","WTA319998","JPN","wta","right-handed"
"N.PODOROSKA","WTA319112","ARG","wta","right-handed"
"N.PODOROSKA","30797","ARG","wta","right-handed"
"N.STOJANOVIC","WTA319709","SRB","wta","right-handed"
"O.BABEL","44509","FRA","wta","left-handed"
"O.DANILOVIC","WTA324934","SRB","wta","left-handed"
"O.DODIN","28687","FRA","wta","right-handed"
"O.JABEUR","23770","TUN","wta","right-handed"
"O.JABEUR","WTA316847","TUN","wta","right-handed"
"P.BADOSA","WTA320124","ESP","wta","right-handed"
"P.BADOSA","32919","ESP","wta","right-handed"
"P.HERCOG","WTA313968","SLO","wta","right-handed"
"P.HERCOG","18049","SLO","wta","right-handed"
"P.HON","WTA320543","AUS","wta","right-handed"
"P.KVITOVA","18124","CZE","wta","left-handed"
"P.KVITOVA","WTA314206","CZE","wta","left-handed"
"P.MARTIC","17011","CRO","wta","right-handed"
"P.MARTIC","WTA313711","CRO","wta","right-handed"
"P.PARMENTIER","7184","FRA","wta","right-handed"
"P.PARMENTIER","WTA160515","FRA","wta","right-handed"
"P.TIG","26506","ROU","wta","right-handed"
"P.TIG","WTA317171","ROU","wta","right-handed"
"Q.WANG","WTA314429","CHN","wta","right-handed"
"R.MARINO","WTA313485","CAN","wta","right-handed"
"R.PETERSON","28280","SWE","wta","right-handed"
