year,player1,player2,player1_id,player1_country,player1_seed,player2_id,player2_country,player2_seed,court_name,court_id,num_sets_completed,match_type,match_status,match_id,tournament,league
2019,F.FERRO,K.MLADENOVIC,30524,FRA,,19921,FRA,,Court Suzanne LENGLEN,2,2,Women's Singles,C,wta_roland_garros_2019SD125,roland_garros,wta
2019,D.VEKIC,J.KONTA,26513,CRO,23,16944,GBR,26,Court Suzanne LENGLEN,2,2,Women's Singles,C,wta_roland_garros_2019SD013,roland_garros,wta
2019,G. MUGURUZA,J. LARSSON,23872,ESP,19,12748,SWE,,Court Suzanne LENGLEN,2,2,Women's Singles,C,wta_roland_garros_2019SD050,roland_garros,wta
2019,S.STEPHENS,M.DOI,21500,USA,7,17949,JPN,,Court Suzanne LENGLEN,2,2,Women's Singles,C,wta_roland_garros_2019SD096,roland_garros,wta
2019,S.HALEP,M.LINETTE,18033,ROU,3,21355,POL,,Court Suzanne LENGLEN,2,3,Women's Singles,C,wta_roland_garros_2019SD040,roland_garros,wta
2019,S.HALEP,A.TOMLJANOVIC,18033,ROU,3,19962,AUS,,Court Philippe CHATRIER,1,3,Women's Singles,C,wta_roland_garros_2019SD080,roland_garros,wta
2019,G.MUGURUZA,E.SVITOLINA,23872,ESP,19,23968,UKR,9,Court Philippe CHATRIER,1,2,Women's Singles,C,wta_roland_garros_2019SD025,roland_garros,wta
2019,S.WILLIAMS,S.KENIN,3370,USA,10,35854,USA,,Court Philippe CHATRIER,1,2,Women's Singles,C,wta_roland_garros_2019SD018,roland_garros,wta
2019,K.KANEPI,P.MARTIC,5699,EST,,17011,CRO,31,Court Philippe CHATRIER,1,3,Women's Singles,C,wta_roland_garros_2019SD015,roland_garros,wta
2019,C.WOZNIACKI,V.KUDERMETOVA,13256,DEN,13,30646,RUS,,Court Philippe CHATRIER,1,3,Women's Singles,C,wta_roland_garros_2019SD120,roland_garros,wta
2019,S.HALEP,A.ANISIMOVA,18033,ROU,3,40607,USA,,Court Philippe CHATRIER,1,2,Women's Singles,C,wta_roland_garros_2019SD005,roland_garros,wta
2019,K.SINIAKOVA,M.KEYS,28779,CZE,,24265,USA,14,Court Suzanne LENGLEN,2,2,Women's Singles,C,wta_roland_garros_2019SD008,roland_garros,wta
2019,C.GARCIA,M.BARTHEL,23726,FRA,24,17343,GER,,Court Suzanne LENGLEN,2,2,Women's Singles,C,wta_roland_garros_2019SD068,roland_garros,wta
2019,S.STEPHENS,J.KONTA,21500,USA,7,16944,GBR,26,Court Philippe CHATRIER,1,2,Women's Singles,C,wta_roland_garros_2019SD006,roland_garros,wta
2019,N.OSAKA,K.SINIAKOVA,30764,JPN,1,28779,CZE,,Court Suzanne LENGLEN,2,2,Women's Singles,C,wta_roland_garros_2019SD016,roland_garros,wta
2019,S. STEPHENS,S. SORRIBES TORMO,21500,USA,7,28888,ESP,,Court Philippe CHATRIER,1,2,Women's Singles,C,wta_roland_garros_2019SD048,roland_garros,wta
2019,V. KUZMOVA,K. BERTENS,33675,SVK,,17861,NED,4,Court Philippe CHATRIER,1,0,Women's Singles,R,wta_roland_garros_2019SD055,roland_garros,wta
2019,S.WILLIAMS,K.NARA,3370,USA,10,17421,JPN,,Court Philippe CHATRIER,1,2,Women's Singles,C,wta_roland_garros_2019SD036,roland_garros,wta
2020,D.EVANS/H.HURKACZ,M.DEMOLINER/M.MIDDELKOOP,15645-31976,GBR-POL,,17542-7985,BRA-NED,,Court Suzanne LENGLEN,2,3,Men's Doubles,C,atp_roland_garros_2020DM062,roland_garros,atp
2020,M.PAVIC/B.SOARES,K.KRAWIETZ/A.MIES,24145-5023,CRO-BRA,7,21648-22962,GER-GER,8,Court Philippe CHATRIER,1,2,Men's Doubles,C,atp_roland_garros_2020DM001,roland_garros,atp
2020,A.CAZAUX/H.MAYOT,L.KUBOT/M.MELO,43952-42442,FRA-FRA,,5880-4912,POL-BRA,4,Court Philippe CHATRIER,1,2,Men's Doubles,C,atp_roland_garros_2020DM055,roland_garros,atp
2020,G.MONFILS,A.BUBLIK,9525,FRA,8,29098,KAZ,,Court Suzanne LENGLEN,2,4,Men's Singles,C,atp_roland_garros_2020SM096,roland_garros,atp
2020,A.BEDENE,S.TSITSIPAS,19666,SLO,,35398,GRE,5,Court Suzanne LENGLEN,2,2,Men's Singles,R,atp_roland_garros_2020SM023,roland_garros,atp
2020,B.PAIRE,S.KWON,20017,FRA,23,34679,KOR,,Court Simonne MATHIEU,3,3,Men's Singles,C,atp_roland_garros_2020SM116,roland_garros,atp
2020,H.GASTON,D.THIEM,38551,FRA,,26348,AUT,3,Court Philippe CHATRIER,1,5,Men's Singles,C,atp_roland_garros_2020SM013,roland_garros,atp
2020,D.SCHWARTZMAN,R.NADAL,24162,ARG,12,7792,ESP,2,Court Philippe CHATRIER,1,3,Men's Singles,C,atp_roland_garros_2020SM003,roland_garros,atp
2020,M.MCDONALD,R.NADAL,25127,USA,,7792,ESP,2,Court Philippe CHATRIER,1,3,Men's Singles,C,atp_roland_garros_2020SM063,roland_garros,atp
2020,M.FUCSOVICS,A.RUBLEV,22454,HUN,,31132,RUS,13,Court Suzanne LENGLEN,2,4,Men's Singles,C,atp_roland_garros_2020SM010,roland_garros,atp
2020,D.SHAPOVALOV,G.SIMON,35246,CAN,9,7774,FRA,,Court Philippe CHATRIER,1,4,Men's Singles,C,atp_roland_garros_2020SM088,roland_garros,atp
2020,J.MUNAR,S.TSITSIPAS,33529,ESP,,35398,GRE,5,Court Suzanne LENGLEN,2,5,Men's Singles,C,atp_roland_garros_2020SM095,roland_garros,atp
2020,S.WAWRINKA,H.GASTON,7815,SUI,16,38551,FRA,,Court Suzanne LENGLEN,2,5,Men's Singles,C,atp_roland_garros_2020SM026,roland_garros,atp
2020,M.KECMANOVIC,D.SCHWARTZMAN,38353,SRB,,24162,ARG,12,Court Simonne MATHIEU,3,3,Men's Singles,C,atp_roland_garros_2020SM103,roland_garros,atp
2020,J.SOCK,D.THIEM,25481,USA,,26348,AUT,3,Court Suzanne LENGLEN,2,3,Men's Singles,C,atp_roland_garros_2020SM055,roland_garros,atp
2020,D.SCHWARTZMAN,D.THIEM,24162,ARG,12,26348,AUT,3,Court Philippe CHATRIER,1,5,Men's Singles,C,atp_roland_garros_2020SM006,roland_garros,atp
2020,N.DJOKOVIC,DE.GALAN,9801,SRB,1,29318,COL,,Court Philippe CHATRIER,1,3,Men's Singles,C,atp_roland_garros_2020SM016,roland_garros,atp
