point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score
2_11_6_2,2,11,6,2,21500,11073,21500,AdCourt,147 KPH,Slice,NA,11.3000002,-1.00199997,2.5769999,1,Forced Error,NA,False,Ground,ForeHand,2.29 Metre,NA,NA,False,False,True,-5.40100002,0.865999997,0.0399999991,T,1.19200003,0.0,0.48300001,-10.9200001,1.28799999,1.19299996,12.7200003,-4.36499977,0.0309999995,-10.9200001,1.28799999,1.19299996,0.0,-1.10800004,2.28900003,12.7200003,-4.36499977,0.0309999995,1854.96,0,0,0,0,0,0,3,2
2_12_1_1,2,12,1,1,11073,21500,11073,DeuceCourt,142 KPH,Slice,NA,11.5810003,1.01499999,2.61800003,5,Unforced Error,NA,False,Ground,BackHand,0.98 Metre,NA,Wide Error,False,False,True,-5.79500008,-2.35800004,0.0320000015,Body,,,,-12.1660004,0.648000002,1.50999999,1.11399996,-4.615,0.0280000009,-12.7379999,-4.01800013,1.09500003,-0.0,-0.246999994,1.71300006,7.00699997,1.91400003,0.0329999998,1726.26,0,0,0,0,0,0,0,0
2_12_2_1,2,12,2,1,11073,21500,11073,AdCourt,149 KPH,Slice,NA,11.6280003,-0.992999971,2.59200001,5,Unforced Error,NA,False,Ground,BackHand,1.22 Metre,NA,Wide Error,False,False,True,-5.81599998,0.874000013,0.0340000018,T,1.18700004,0.0,0.405000001,-14.2209997,3.88899994,0.995999992,6.38399982,4.46500015,0.023,-13.2110004,1.35099995,1.13,0.0,-0.196999997,1.48199999,6.15600014,-0.925000012,0.0430000015,1507.8,0,0,0,0,0,0,1,0
2_12_3_1,2,12,3,1,11073,21500,11073,DeuceCourt,145 KPH,Slice,NA,11.4960003,1.38100004,2.63100004,11,Unforced Error,NA,True,Ground,ForeHand,0.78 Metre,NA,Net Error,False,False,True,-5.99700022,-0.63499999,0.0350000001,T,,,,-12.0740004,-2.40100002,0.947000027,-0.245000005,1.57700002,0.0469999984,-12.835,-1.66799998,1.11800003,0.0,-0.805999994,2.06999993,10.4870005,-0.133000001,0.0480000004,2842.98,0,0,0,0,0,0,2,0
2_12_4_1,2,12,4,1,11073,21500,11073,AdCourt,145.36 KPH,Flat,0.5 Metre,11.5299997,-0.827000022,2.54699993,0,Faulty Serve,Long Error,False,NA,ForeHand,1.34 Metre,NA,NA,False,False,True,-6.90199995,2.98900008,0.0289999992,Wide,1.34399998,0.0,1.66600001,11.5299997,-0.827000022,2.54699993,-6.90199995,2.98900008,0.0289999992,,,,,,,,,,NA,1,0,0,0,0,0,3,0
2_12_4_2,2,12,4,2,11073,21500,11073,AdCourt,126 KPH,Flat,NA,11.6140003,-1.16799998,2.53500009,3,Unforced Error,NA,True,Ground,ForeHand,0.59 Metre,NA,Net Error,False,False,True,-4.8130002,3.08899999,0.0270000007,Wide,,,,-13.276,-1.39900005,1.00899994,,,,-11.8909998,4.84299994,1.23300004,-0.0,1.31099999,1.40400004,7.89499998,-0.963,0.0419999994,2105.7,0,0,0,0,0,0,3,0
2_13_1_1,2,13,1,1,21500,11073,21500,DeuceCourt,152 KPH,Flat,NA,-11.3380003,-1.02900004,2.53200006,1,Forced Error,NA,False,NA,ForeHand,2.84 Metre,NA,NA,False,False,True,5.39499998,3.12400007,0.0219999999,Wide,1.16799998,0.0,1.64100003,11.9139996,4.97599983,1.33000004,,,,,,,,,,,,,1805.58,0,0,1,0,0,0,0,0
2_13_2_1,2,13,2,1,11073,21500,11073,AdCourt,146 KPH,Flat,NA,11.5089998,-0.89200002,2.63599992,7,Unforced Error,NA,False,Ground,BackHand,1.67 Metre,NA,Wide Error,False,False,True,-5.57700014,2.44700003,0.0299999993,Body,,,,-13.8190002,4.82399988,1.278,10.8149996,4.34600019,0.0450000018,-13.0389996,3.648,1.13100004,-0.0,1.69400001,1.62899995,7.71500015,0.566999972,0.0480000004,1988.04,0,0,1,0,0,0,0,1
2_13_3_1,2,13,3,1,11073,21500,11073,DeuceCourt,150.97 KPH,Slice,1.25 Metre,11.5050001,1.11199999,2.54500008,0,Faulty Serve,Long Error,False,NA,BackHand,1.46 Metre,NA,NA,False,False,True,-7.6500001,-2.13000011,0.0320000015,Body,1.45899999,-0.0,-0.671000004,11.5050001,1.11199999,2.54500008,-7.6500001,-2.13000011,0.0320000015,,,,,,,,,,NA,1,0,1,0,0,0,1,1
2_13_3_2,2,13,3,2,11073,21500,11073,DeuceCourt,130 KPH,Slice,NA,11.6879997,0.822000027,2.59899998,3,Unforced Error,NA,False,Ground,BackHand,2.34 Metre,NA,Long Error,False,False,True,-5.49800014,-0.99000001,0.0350000001,T,,,,-13.217,2.8269999,1.02100003,12.6549997,2.48699999,0.0500000007,-12.8859997,-2.08899999,1.29700005,-0.0,-2.1960001,1.16799998,6.08900023,-2.14100003,0.0379999988,2648.52,0,0,1,0,0,0,1,1
