point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score
5_4_3_1,5,4,3,1,30350,27419,30350,DeuceCourt,195 KPH,Flat,NA,11.1350002,0.897000015,2.91199994,1,Ace,NA,False,NA,ForeHand,1.06 Metre,Cross Court,NA,False,False,True,-4.66400003,-3.61899996,0.0419999994,Wide,,,,11.1350002,0.897000015,2.91199994,-4.66400003,-3.61899996,0.0419999994,,,,,,,,,,NA,0,0,0,1,0,0,1,1
5_4_4_1,5,4,4,1,30350,27419,30350,AdCourt,195 KPH,NA,NA,,,,0,Faulty Serve,NA,False,NA,ForeHand,1.06 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,1,2,1
5_4_4_2,5,4,4,2,30350,27419,30350,AdCourt,166 KPH,Kick,NA,11.349,-0.50999999,3.00399995,5,Unforced Error,NA,False,Ground,ForeHand,2.21 Metre,NA,Long Error,False,False,True,-4.84700012,0.216999993,0.0370000005,T,,,,-13.0860004,-1.62100005,0.933000028,12.885,3.01999998,0.0379999988,-11.4879999,0.384000003,1.71500003,-0.0,-0.193000004,3.3670001,11.4659996,-1.18700004,0.0350000001,2862.84,0,0,0,0,0,0,2,1
5_4_5_1,5,4,5,1,30350,27419,30350,DeuceCourt,221.43 KPH,Flat,0.39 Metre,11.1190004,0.702000022,2.97099996,0,Faulty Serve,Wide Error,False,NA,BackHand,1.18 Metre,NA,NA,False,False,True,-5.76499987,0.389999986,0.0370000005,T,1.17999995,0.0,0.523000002,11.1190004,0.702000022,2.97099996,-5.76499987,0.389999986,0.0370000005,,,,,,,,,,0,1,0,0,0,0,0,3,1
5_4_5_2,5,4,5,2,30350,27419,27419,DeuceCourt,174 KPH,Pronated,NA,11.375,0.771000028,2.99399996,2,Unforced Error,NA,False,Ground,BackHand,1.83 Metre,NA,Long Error,False,False,True,-3.91199994,-0.787,0.0390000008,T,,,,11.4540005,-0.298999995,1.54499996,-12.885,-3.41599989,0.0240000002,-11.4630003,-1.50300002,1.80700004,-0.0,-0.958000004,1.78900003,6.25099993,-0.458999991,0.0430000015,961.44,0,0,0,0,0,0,3,1
5_4_6_1,5,4,6,1,30350,27419,30350,AdCourt,202 KPH,Pronated,NA,-14.4840002,6.01599979,1.36099994,1,Forced Error,NA,False,NA,BackHand,NA,NA,NA,False,False,True,12.885,-1.79499996,0.0329999998,Body,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,3,2
5_5_1_1,5,5,1,1,27419,30350,27419,DeuceCourt,NA,NA,NA,,,,1,Ace,NA,False,NA,ForeHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0
5_5_2_1,5,5,2,1,27419,30350,30350,AdCourt,185 KPH,Flat,NA,-11.2589998,1.13199997,2.79900002,2,Forced Error,NA,False,Ground,ForeHand,0.32 Metre,NA,NA,False,False,True,5.67199993,-0.264999986,0.0410000011,T,1.14999998,-0.0,0.145999998,-12.8990002,1.56299996,0.722000003,,,,15.4069996,-0.985000014,1.26100004,0.0,0.400000006,2.67600012,-11.4790001,1.46099997,0.0280000009,1712.28,0,0,0,0,0,1,1,0
5_5_3_1,5,5,3,1,27419,30350,27419,DeuceCourt,197.33 KPH,Flat,NA,-11.2309999,-1.68599999,2.82200003,1,Forced Error,NA,True,Ground,BackHand,1.11 Metre,NA,NA,False,False,True,5.57700014,0.164000005,0.0370000005,T,1.11300004,-0.0,-0.441000015,15.2060003,1.23800004,1.25800002,3.67799997,1.62199998,0.0439999998,,,,,,,,,,NA,0,0,0,0,0,0,1,1
5_5_4_1,5,5,4,1,27419,30350,30350,AdCourt,171 KPH,Slice,NA,15.7360001,-0.726999998,1.051,8,Winner,NA,False,Ground,ForeHand,1.06 Metre,Down the Line,NA,False,False,True,-8.83600044,2.38899994,0.0329999998,Body,2.11899996,0.0,1.34800005,,,,,,,-11.6389999,2.59899998,1.08299994,0.0,2.90100002,1.47599995,9.12199974,3.25200009,0.0350000001,NA,0,0,0,0,0,0,2,1
5_5_5_1,5,5,5,1,27419,30350,30350,DeuceCourt,171 KPH,NA,NA,,,,0,Faulty Serve,NA,False,Ground,BackHand,1.06 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,2,2
5_5_5_2,5,5,5,2,27419,30350,30350,DeuceCourt,127 KPH,Pronated,NA,-11.4519997,-1.255,2.81699991,2,Unforced Error,NA,True,Ground,BackHand,0.8 Metre,NA,Net Error,False,False,True,4.10599995,0.84799999,0.0439999998,T,1.19500005,0.0,0.116999999,-12.0159998,1.949,1.12,,,,13.6590004,1.528,1.82299995,0.0,1.88699996,1.83800006,-8.44299984,1.98099995,0.0390000008,2011.02,0,0,0,0,0,0,2,2
5_5_6_1,5,5,6,1,27419,30350,30350,AdCourt,194 KPH,Pronated,NA,-11.2200003,1.12199998,2.79699993,4,Winner,NA,False,Passing,ForeHand,1.22 Metre,Cross Court,NA,True,True,True,5.66800022,-0.60799998,0.0410000011,T,,,,14.526,3.64499998,1.07500005,-5.94299984,-2.7420001,0.0299999993,14.9860001,-1.62899995,1.278,0.0,0.0659999996,0.964999974,-3.71499991,0.446999997,0.0390000008,2527.02,0,0,0,0,0,0,2,3
5_6_1_1,5,6,1,1,30350,27419,30350,DeuceCourt,199 KPH,Flat,NA,-11.3540001,-0.952000022,3.00699997,5,Winner,NA,False,Approach,BackHand,1.23 Metre,Down the Line,NA,False,False,True,6.1880002,3.18099999,0.0359999985,Wide,,,,-5.23099995,2.79999995,0.224000007,10.1739998,3.6730001,0.0320000015,12.8529997,4.92399979,1.17799997,-0.0,2.54299998,2.30100012,-10.4099998,0.796999991,0.0320000015,971.58,0,0,0,0,0,0,0,0
5_6_2_1,5,6,2,1,30350,27419,30350,AdCourt,200.11 KPH,Flat,0.32 Metre,-11.3859997,0.58099997,2.96700001,0,Faulty Serve,Long Error,False,NA,BackHand,1.37 Metre,NA,NA,False,False,True,6.71600008,-0.061999999,0.0450000018,T,1.37100005,-0.0,0.0700000003,-11.3859997,0.58099997,2.96700001,6.71600008,-0.061999999,0.0450000018,,,,,,,,,,NA,1,0,0,0,0,0,1,0
5_6_2_2,5,6,2,2,30350,27419,30350,AdCourt,159 KPH,Pronated,NA,-11.493,0.842999995,2.98300004,3,Winner,NA,False,Ground,BackHand,1.28 Metre,Cross Court,NA,False,False,True,4.19399977,-1.93700004,0.0439999998,Body,1.09899998,0.0,-1.34000003,-11.4020004,3.18899989,1.04400003,6.98500013,-2.84699988,0.0340000018,10.8780003,-3.18099999,1.83200002,0.0,-0.238000005,1.72899997,-6.55200005,1.89199996,0.0390000008,2307,0,0,0,0,0,0,1,0
5_6_3_1,5,6,3,1,30350,27419,27419,DeuceCourt,208 KPH,Flat,NA,-11.1289997,-0.947000027,2.93899989,4,Forced Error,NA,False,Volley,ForeHand,1.86 Metre,NA,NA,False,False,True,6.27299976,0.416999996,0.0469999984,T,1.25699997,-0.0,-0.0930000022,-4.77699995,-1.505,0.755999982,12.243,-4.47200012,0.0189999994,14.2749996,1.051,1.15199995,0.0,2.36199999,1.23699999,-4.34899998,2.87599993,0.0350000001,NA,0,0,0,0,0,0,2,0
5_6_4_1,5,6,4,1,30350,27419,27419,AdCourt,208.74 KPH,Slice,0.11 Metre,-11.2959995,0.395000011,2.99799991,0,Faulty Serve,Net Error,True,NA,BackHand,0.88 Metre,NA,Net Error,False,False,True,-0.109999999,-0.409999996,0.0390000008,T,,,,-11.2959995,0.395000011,2.99799991,-0.109999999,-0.409999996,0.0390000008,,,,,,,,,,NA,1,0,0,0,0,0,2,1
5_6_4_2,5,6,4,2,30350,27419,27419,AdCourt,141 KPH,Pronated,NA,-11.2910004,0.67900002,2.93899989,10,Forced Error,NA,True,Approach,BackHand,0.96 Metre,NA,NA,False,False,True,3.9519999,-2.87899995,0.0399999991,Wide,1.11899996,0.0,-2.14199996,-4.93499994,4.02099991,0.202000007,-0.114,2.99300003,0.0450000018,10.901,-4.72800016,1.94400001,0.0,-1.20299995,2.10299993,-10.3620005,1.65699995,0.0270000007,NA,0,0,0,0,0,0,2,1
