point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score
1_8_1_1,1,8,1,1,ATPO522,ATPFB98,ATPO522,DeuceCourt,204 KPH,Slice,NA,10.855,1.176,3.053,1,Forced Error,NA,True,NA,ForeHand,0.17 Metre,NA,NA,False,False,True,-5.872,-2.989,0.032,Wide,,,,-9.376,-4.052,1.163,,,,,,,,,,,,,1474.08,0,0,0,0,0,0,0,0
1_8_2_1,1,8,2,1,ATPO522,ATPFB98,ATPO522,AdCourt,218 KPH,NA,NA,10.721,-0.102,3.096,1,Ace,NA,False,NA,ForeHand,1.02 Metre,Cross Court,NA,False,False,True,-4.419,3.196,0.035,Wide,1.021,0.0,2.246,10.721,-0.102,3.096,-4.419,3.196,0.035,,,,,,,,,,0,0,0,0,1,0,0,1,0
1_8_3_1,1,8,3,1,ATPO522,ATPFB98,ATPO522,DeuceCourt,187 KPH,NA,NA,,,,0,Faulty Serve,NA,False,NA,BackHand,1.4 Metre,NA,NA,False,False,True,-6.777,-2.219,0.032,Body,,,,,,,-6.777,-2.219,0.032,,,,,,,,,,NA,1,0,0,0,0,1,2,0
1_8_3_2,1,8,3,2,ATPO522,ATPFB98,ATPO522,DeuceCourt,187 KPH,NA,NA,11.092,0.786,3.091,1,Ace,NA,False,NA,ForeHand,1.11 Metre,Cross Court,NA,False,False,True,-4.432,-4.125,0.031,Wide,1.114,0.0,-2.552,11.092,0.786,3.091,-4.432,-4.125,0.031,,,,,,,,,,NA,0,0,0,1,0,0,2,0
1_8_4_1,1,8,4,1,ATPO522,ATPFB98,ATPFB98,AdCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,True,-7.852,3.918,0.03,Wide,,,,,,,-7.852,3.918,0.03,,,,,,,,,,0,1,0,0,0,0,1,3,0
1_8_4_2,1,8,4,2,ATPO522,ATPFB98,ATPFB98,AdCourt,NA,NA,NA,,,,0,DoubleFault,NA,False,NA,NA,1.55 Metre,NA,NA,False,False,True,-6.54,3.582,0.031,Wide,,,,,,,-6.54,3.582,0.031,,,,,,,,,,1361.7,1,1,0,0,0,0,3,0
1_8_5_1,1,8,5,1,ATPO522,ATPFB98,ATPO522,DeuceCourt,225 KPH,Flat,NA,10.819,1.164,3.029,1,Forced Error,NA,True,NA,BackHand,1.05 Metre,NA,NA,False,False,True,-4.813,-1.346,0.033,T,1.047,0.0,-0.56,-12.741,-2.652,1.321,-3.191,0.273,0.036,,,,,,,,,,1057.5,0,0,0,0,1,0,3,1
1_9_1_1,1,9,1,1,ATPFB98,ATPO522,ATPO522,DeuceCourt,167.47 KPH,NA,NA,,,,0,Faulty Serve,NA,False,NA,BackHand,1.07 Metre,NA,NA,False,False,True,4.313,4.5,0.033,Wide,,,,,,,4.313,4.5,0.033,,,,,,,,,,NA,1,0,0,0,0,0,0,0
1_9_1_2,1,9,1,2,ATPFB98,ATPO522,ATPO522,DeuceCourt,144 KPH,Kick,NA,-11.403,-0.708,2.941,4,Forced Error,NA,True,Ground,BackHand,0.21 Metre,NA,NA,False,False,True,6.219,2.256,0.031,Body,,,,-8.574,1.639,1.244,,,,15.681,4.482,1.595,0.0,0.409,1.849,-8.384,-1.4,0.032,1140.84,0,0,0,0,0,0,0,0
1_9_2_1,1,9,2,1,ATPFB98,ATPO522,ATPO522,AdCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,True,6.982,0.248,0.032,T,,,,,,,6.982,0.248,0.032,,,,,,,,,,NA,1,0,0,0,0,0,0,1
