point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score
1_6_5_1,1,6,5,1,WTA317708,WTA311470,WTA317708,DeuceCourt,159 KPH,Pronated,NA,11.541,1.293,2.823,3,Winner,NA,False,Ground,ForeHand,1.47 Metre,Cross Court,NA,False,False,True,-5.981,-0.391,0.03,T,,,,12.174,-0.965,1.852,-7.242,2.319,0.032,-13.607,-0.764,1.188,-0.0,-0.615,4.979,7.85,-0.692,0.03,2086.68,0,0,0,0,0,0,3,1
NA,2,1,1,1,NA,NA,NA,DeuceCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,0,0
2_1_1_2,2,1,1,2,WTA311470,WTA317708,WTA317708,DeuceCourt,122 KPH,Pronated,NA,-11.542,-0.582,2.686,2,Winner,NA,False,Ground,ForeHand,1.88 Metre,Down the Line,NA,False,False,True,4.281,1.009,0.031,T,,,,12.208,1.527,1.28,-11.544,3.254,0.034,12.208,1.527,1.28,0.0,2.416,1.883,-11.544,3.254,0.034,1807.62,0,0,0,0,0,0,0,0
2_1_2_1,2,1,2,1,WTA311470,WTA317708,WTA317708,AdCourt,141 KPH,Pronated,NA,-11.439,1.396,2.629,2,Unforced Error,NA,True,Ground,BackHand,0.87 Metre,NA,Net Error,False,False,True,5.121,-1.175,0.031,T,,,,-4.551,-0.494,1.062,-0.286,0.678,0.03,12.477,-2.459,1.156,-0.0,-2.206,1.028,-5.384,-2.104,0.031,1564.86,0,0,0,0,0,0,0,1
NA,2,1,3,1,NA,NA,NA,DeuceCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,0,2
2_1_3_2,2,1,3,2,WTA311470,WTA317708,WTA317708,DeuceCourt,125 KPH,Pronated,NA,-11.567,-0.781,2.706,14,Winner,NA,False,Ground,BackHand,1.72 Metre,Cross Court,NA,False,False,True,5.092,0.417,0.031,T,,,,11.37,6.794,1.273,-4.586,-3.989,0.03,12.301,0.703,1.112,0.0,-0.626,1.3,-7.58,-1.419,0.03,2015.76,0,0,0,0,0,0,0,2
2_1_4_1,2,1,4,1,WTA311470,WTA317708,WTA317708,AdCourt,149 KPH,Pronated,NA,-11.283,1.442,2.587,2,Forced Error,NA,False,Ground,ForeHand,1.56 Metre,NA,NA,True,True,True,4.524,-2.528,0.035,Body,,,,-12.107,3.617,0.408,8.921,4.615,0.032,12.148,-4.515,1.195,0.0,-0.366,1.683,-10.826,3.192,0.034,1287.72,0,0,0,0,0,0,0,3
2_2_1_1,2,2,1,1,WTA317708,WTA311470,WTA317708,DeuceCourt,169 KPH,NA,NA,-11.51,-1.304,2.801,1,Ace,NA,False,NA,ForeHand,1.07 Metre,Down the Line,NA,False,False,True,4.904,-0.028,0.031,T,,,,-11.51,-1.304,2.801,4.904,-0.028,0.031,,,,,,,,,,NA,0,0,0,1,0,0,0,0
NA,2,2,2,1,NA,NA,NA,AdCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,1,1,0
2_2_2_2,2,2,2,2,WTA317708,WTA311470,WTA317708,AdCourt,141 KPH,Pronated,NA,-11.766,1.472,2.801,3,Unforced Error,NA,False,Ground,ForeHand,1.29 Metre,NA,Wide Error,False,False,True,5.658,-2.368,0.033,Body,,,,13.54,-1.865,0.871,-6.818,-4.219,0.033,13.567,-4.672,1.227,0.0,0.232,1.289,-6.204,2.415,0.032,1669.92,0,0,0,0,0,0,1,0
2_2_3_1,2,2,3,1,WTA317708,WTA311470,WTA317708,DeuceCourt,164 KPH,Pronated,NA,-11.638,-1.348,2.796,5,Winner,NA,False,Ground,ForeHand,1.64 Metre,Down the Line,NA,False,False,True,5.933,2.189,0.034,Body,,,,-12.949,2.278,1.516,8.219,3.384,0.033,13.158,3.268,1.116,0.0,3.072,1.084,-4.793,2.983,0.032,3053.22,0,0,0,0,0,0,2,0
2_2_4_1,2,2,4,1,WTA317708,WTA311470,WTA317708,AdCourt,168 KPH,Pronated,NA,-11.407,1.745,2.794,5,Winner,NA,False,Lob,ForeHand,NA,NA,NA,False,False,True,5.547,-0.426,0.031,T,,,,-7.126,2.025,2.049,,,,12.936,-1.45,1.026,0.0,0.136,1.847,-8.306,1.007,0.033,970.74,0,0,0,0,0,0,3,0
NA,2,3,1,1,NA,NA,NA,DeuceCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,0,0
2_3_1_2,2,3,1,2,WTA311470,WTA317708,WTA317708,DeuceCourt,131 KPH,Pronated,NA,11.627,0.803,2.709,2,Unforced Error,NA,True,Ground,BackHand,0.85 Metre,NA,Net Error,False,False,True,-4.815,-1.579,0.031,Body,,,,6.682,1.206,1.249,0.48,0.254,0.031,-12.214,-2.257,1.043,0.0,-0.235,1.646,9.83,1.545,0.033,1926.36,0,0,0,0,0,0,0,0
2_3_2_1,2,3,2,1,WTA311470,WTA317708,WTA317708,AdCourt,149.77 KPH,NA,NA,,,,0,Faulty Serve,NA,False,NA,ForeHand,0.94 Metre,NA,NA,False,False,True,-4.678,2.806,0.032,Wide,,,,,,,-4.678,2.806,0.032,,,,,,,,,,NA,1,0,0,0,0,0,0,1
